epoch,PCKh@0.5,loss,val_PCKh@0.5,val_loss
0,0.09989020228385925,0.917462170124054,0.031033886596560478,0.9431197047233582
1,0.24669763445854187,0.8669429421424866,0.2183609902858734,0.8739427924156189
2,0.2882179021835327,0.8346719741821289,0.29028353095054626,0.813737690448761
3,0.30597972869873047,0.8014774322509766,0.2694286108016968,0.7920048236846924
4,0.3190625011920929,0.7767050266265869,0.329356849193573,0.7675965428352356
5,0.39293918013572693,0.7486697435379028,0.35580912232398987,0.7400021553039551
6,0.3872888386249542,0.7520608305931091,0.3828665316104889,0.7279488444328308
7,0.39865708351135254,0.7353371381759644,0.4146568179130554,0.7104970812797546
8,0.4433952569961548,0.7018918991088867,0.4778267741203308,0.6752837300300598
9,0.5038513541221619,0.6519280672073364,0.4841156601905823,0.6420271396636963
10,0.5255151987075806,0.6175594329833984,0.5159491896629333,0.6121048331260681
11,0.5724999904632568,0.5620375871658325,0.569891095161438,0.554972767829895
12,0.5797044038772583,0.5459297299385071,0.5771308541297913,0.5428792834281921
13,0.6463598012924194,0.4897766709327698,0.5868127346038818,0.5238534808158875
14,0.6209375262260437,0.47585082054138184,0.5890387296676636,0.5258696675300598
15,0.6310473084449768,0.4679368734359741,0.6297112703323364,0.48213839530944824
16,0.6230152249336243,0.457919716835022,0.6337093710899353,0.4766882061958313
17,0.6401267051696777,0.4435690939426422,0.6481889486312866,0.46497899293899536
18,0.6750844717025757,0.413986474275589,0.6574169993400574,0.4523654282093048
19,0.5776435732841492,0.49103647470474243,0.637664258480072,0.4724680483341217
20,0.6343834400177002,0.4684690833091736,0.6651754975318909,0.4305135905742645
21,0.6807601451873779,0.4200999438762665,0.6559474468231201,0.43289926648139954
22,0.6795692443847656,0.39542147517204285,0.6046637296676636,0.4769999086856842
23,0.6668834686279297,0.4019545912742615,0.6698651313781738,0.4207807183265686
24,0.7117652297019958,0.3676612377166748,0.6626901626586914,0.4378938674926758
25,0.7288935780525208,0.41812509298324585,0.6499394774436951,0.4370975196361542
26,0.7398648858070374,0.39669764041900635,0.6802818179130554,0.39723169803619385
